name,selling_price_idr,year,seller_type,owner,km_driven
Royal Enfield Classic 350,34508250,2019,Individual,1st owner,350
TVS Scooty Zest 110,10845450,2018,Individual,1st owner,380
Royal Enfield Classic 350,34508250,2020,Individual,1st owner,500
Royal Enfield Classic Gunmetal Grey,37466100,2020,Individual,1st owner,500
Bajaj Avenger 220,14197680,2018,Individual,1st owner,500
Activa 3g,8873550,2018,Individual,1st owner,500
Vespa SXL 149,19324620,2019,Individual,1st owner,1000
Hero Splendor Plus i3s,12817350,2019,Individual,1st owner,1000
Hero Passion Pro,8873550,2018,Individual,1st owner,1000
Yamaha YZF R3,71974350,2019,Individual,1st owner,1127
Royal Enfield Interceptor 650,51269400,2019,Individual,1st owner,1200
Yamaha YZF R15 [2011-2018],9859500,2014,Individual,1st owner,1200
Bajaj Dominar 400,28592550,2019,Individual,1st owner,1200
Bajaj Pulsar 180F,19719000,2019,Individual,1st owner,1300
Bajaj Avenger 220,17747100,2019,Individual,1st owner,1300
Activa 4g,7887600,2019,Individual,1st owner,1300
Yamaha YZF R15 V3,33522300,2019,Individual,1st owner,1400
UM Renegade Mojave,33522300,2019,Individual,1st owner,1400
Royal Enfield Continental GT 650,58959810,2019,Individual,1st owner,1500
Royal Enfield Thunderbird 500X,36480150,2018,Individual,1st owner,1500
Yamaha Fascino 110,13606110,2019,Individual,1st owner,1600
Jawa 42,36480150,2020,Individual,1st owner,1700
Bajaj Avenger Cruise 220,18733050,2018,Individual,1st owner,1800
Suzuki Access 125,4929750,2010,Individual,1st owner,1900
Mahindra Mojo XT300,32536350,2017,Individual,1st owner,1933
Jawa Standard,35494200,2019,Individual,1st owner,2000
Benelli TNT 25,31550400,2017,Individual,1st owner,2009
Royal Enfield Classic 350,28592550,2017,Individual,1st owner,2200
Suzuki Access 125,7887600,2015,Individual,1st owner,2300
KTM RC 390,53241300,2019,Individual,1st owner,2380
Hero Glamour 125,10845450,2017,Individual,1st owner,2500
Yamaha FZ25,29578500,2019,Individual,1st owner,2500
BMW G310GS,59157000,2018,Individual,1st owner,2500
Royal Enfield Thunderbird 350X,28592550,2019,Individual,1st owner,2700
Royal Enfield Classic 350,26620650,2017,Individual,1st owner,2700
Bajaj V15,8873550,2015,Individual,1st owner,2700
Suzuki GSX S750,149864400,2019,Individual,1st owner,2800
Royal Enfield Classic Signals,38452050,2018,Individual,1st owner,2845
Hero Xpulse 200T,20704950,2019,Individual,1st owner,2900
Bajaj CT 100,8281980,2019,Individual,1st owner,2900
Honda Activa 5G,13803300,2019,Individual,1st owner,3000
Honda Activa 3G,7887600,2015,Individual,1st owner,3000
Hero Splendor Plus i3s,13803300,2019,Individual,1st owner,3000
Bajaj Avenger Street 160,16761150,2019,Individual,1st owner,3000
TVS Apache RTR 200 4V,24648750,2019,Individual,1st owner,3000
Royal Enfield Thunder 500,34508250,2018,Individual,1st owner,3000
Honda CB Hornet 160R,15775200,2019,Individual,1st owner,3000
